DATE_VALID_STD,SCRUB_STORE_NO,TIME_DIM_KEY,DOY_STD,AVG_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_WETBULB_2M_F,AVG_TEMPERATURE_DEWPOINT_2M_F,AVG_TEMPERATURE_FEELSLIKE_2M_F,AVG_HUMIDITY_RELATIVE_2M_PCT,AVG_HUMIDITY_SPECIFIC_2M_GPKG,AVG_PRESSURE_2M_MB,AVG_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_WIND_SPEED_10M_MPH,AVG_WIND_DIRECTION_10M_DEG,AVG_WIND_DIRECTION_80M_DEG,AVG_WIND_DIRECTION_100M_DEG,TOT_PRECIPITATION_IN,TOT_SNOWFALL_IN,AVG_CLOUD_COVER_TOT_PCT,AVG_RADIATION_SOLAR_TOTAL_WPM2,TOT_RADIATION_SOLAR_TOTAL_WPM2
2021-09-08,1,20210908,251,60.9,55.7,51.7,60.5,73,8.4,978.2,1006.6,10.3,299,302,303,0.0,0,25,206.8,4755.7
2021-09-09,1,20210909,252,58.7,53.5,49.2,58.2,73,7.6,985.0,1013.6,7.2,324,328,329,0.03,0,45,204.1,4899.1
2021-09-10,1,20210910,253,61.2,54.1,48.1,62.1,65,7.3,989.1,1017.7,6.2,210,212,212,0.0,0,27,228.8,5491.4
2021-09-11,1,20210911,254,68.2,61.8,57.8,69.3,72,10.5,984.9,1013.2,11.7,216,218,219,0.0,0,67,180.8,4339.6
2021-09-12,1,20210912,255,65.5,57.0,49.4,65.7,60,7.8,988.1,1016.6,7.0,51,55,56,0.0,0,74,185.6,4453.4
2021-09-13,1,20210913,256,67.2,61.7,58.3,68.2,75,10.9,984.4,1012.7,6.9,150,145,144,0.02,0,66,138.1,3316.0
2021-09-14,1,20210914,257,63.1,58.2,54.3,63.5,76,9.4,983.9,1012.4,8.1,306,310,311,0.19,0,46,226.0,5425.0
2021-09-15,1,20210915,258,59.8,53.3,47.6,60.9,67,7.1,989.6,1018.4,5.2,301,300,300,0.0,0,42,159.0,3814.3
2021-09-16,1,20210916,259,62.0,54.0,46.7,62.1,61,6.9,993.4,1022.2,5.5,231,233,234,0.0,0,0,230.8,5539.0
2021-09-17,1,20210917,260,64.3,55.9,49.0,64.1,60,7.5,996.6,1025.4,8.1,209,213,215,0.0,0,0,227.4,5455.7
2021-09-18,1,20210918,261,65.7,56.9,49.5,65.8,60,7.7,996.3,1025.0,8.0,176,182,184,0.0,0,0,227.7,5463.9
2021-09-19,1,20210919,262,69.2,60.1,53.7,70.1,61,9.0,991.1,1019.6,9.7,194,198,199,0.0,0,15,198.5,4763.3
2021-09-20,1,20210920,263,70.3,60.6,53.2,71.4,58,8.9,986.7,1015.1,10.2,202,205,206,0.0,0,71,160.7,3857.2
2021-09-21,1,20210921,264,62.8,60.0,58.1,62.6,86,10.7,980.6,1009.0,8.6,228,235,236,0.94,0,89,35.3,846.6
2021-09-22,1,20210922,265,51.9,50.0,48.4,48.0,88,7.4,978.6,1007.3,12.0,296,300,300,0.21,0,88,76.4,1833.3
2021-09-23,1,20210923,266,52.0,47.5,42.8,49.9,72,6.0,982.2,1011.2,8.4,245,247,248,0.03,0,62,157.0,3768.1
2021-09-08,2,20210908,251,67.6,61.9,58.5,68.2,76,10.9,971.2,1010.6,10.0,204,206,207,0.0,0,43,243.3,5596.6
2021-09-09,2,20210909,252,63.6,62.5,62.0,63.6,95,12.3,968.6,1008.1,3.6,253,258,259,0.22,0,100,47.7,1144.7
2021-09-10,2,20210910,253,59.1,54.1,50.3,58.3,73,8.1,971.6,1011.5,8.3,305,308,309,0.04,0,26,234.4,5627.1
2021-09-11,2,20210911,254,58.9,52.2,46.2,58.6,65,6.9,980.4,1020.7,7.3,244,248,250,0.0,0,4,254.6,6111.7
2021-09-12,2,20210912,255,66.6,61.4,58.3,67.4,77,10.8,976.8,1016.5,10.4,252,254,255,0.02,0,42,215.2,5165.3
2021-09-13,2,20210913,256,64.0,58.5,54.6,65.1,75,9.4,978.2,1018.1,3.5,276,277,278,0.0,0,53,214.8,5156.2
2021-09-14,2,20210914,257,73.0,66.8,63.5,74.6,75,13.0,973.0,1012.3,9.3,225,225,225,0.15,0,72,229.9,5516.9
2021-09-15,2,20210915,258,63.3,57.7,53.1,63.3,71,9.2,974.0,1013.8,7.0,274,278,280,0.0,0,100,115.1,2761.0
2021-09-16,2,20210916,259,57.4,51.0,45.0,57.2,65,6.5,979.2,1019.6,3.6,14,17,18,0.0,0,78,142.9,3428.8
2021-09-17,2,20210917,260,56.2,49.4,42.3,56.1,63,5.9,986.4,1027.1,3.2,332,338,339,0.0,0,0,244.1,5856.9
2021-09-18,2,20210918,261,60.7,53.7,47.8,61.4,65,7.2,989.5,1030.1,2.2,197,203,204,0.0,0,0,237.4,5696.3
2021-09-19,2,20210919,262,63.1,56.1,50.9,64.3,67,8.2,986.2,1026.5,2.1,127,128,128,0.0,0,0,234.4,5626.3
2021-09-20,2,20210920,263,63.7,56.9,52.1,64.7,68,8.6,980.8,1020.8,2.9,49,52,53,0.0,0,55,231.1,5547.1
2021-09-21,2,20210921,264,65.9,59.3,54.9,66.6,70,9.5,977.4,1017.2,5.0,233,231,231,0.02,0,58,212.2,5091.5
2021-09-22,2,20210922,265,63.1,62.0,61.5,64.2,95,12.1,968.2,1007.7,6.7,214,215,214,0.33,0,85,106.5,2555.7
2021-09-23,2,20210923,266,56.8,53.0,49.7,55.8,79,8.0,968.8,1008.7,9.2,266,267,268,0.03,0,35,218.3,5239.8
2021-09-08,3,20210908,251,69.6,64.2,61.1,70.7,77,11.7,998.2,1010.5,8.1,188,194,195,0.09,0,46,229.8,5286.0
2021-09-09,3,20210909,252,65.5,63.7,62.6,65.7,91,12.3,995.8,1008.1,2.3,302,294,292,0.16,0,100,59.8,1434.1
2021-09-10,3,20210910,253,61.9,55.4,50.2,62.6,68,7.8,999.9,1012.2,6.8,307,309,310,0.0,0,22,241.1,5785.9
2021-09-11,3,20210911,254,60.9,54.4,48.8,61.5,68,7.4,1008.7,1021.2,4.7,223,231,232,0.0,0,7,253.3,6078.6
2021-09-12,3,20210912,255,69.9,63.5,59.9,70.5,74,11.1,1004.7,1017.1,7.2,233,242,243,0.0,0,45,220.2,5284.4
2021-09-13,3,20210913,256,67.9,62.0,58.1,68.8,73,10.5,1005.6,1018.0,2.8,264,267,268,0.0,0,59,202.2,4851.5
2021-09-14,3,20210914,257,75.3,68.1,64.2,76.6,73,13.0,1000.3,1012.5,7.4,206,212,212,0.07,0,64,230.2,5525.5
2021-09-15,3,20210915,258,65.2,59.5,55.0,66.2,72,9.6,1001.9,1014.2,4.7,302,300,300,0.15,0,100,131.7,3161.3
2021-09-16,3,20210916,259,60.3,53.8,48.1,60.6,66,7.1,1006.9,1019.4,3.8,6,10,12,0.0,0,79,159.1,3819.3
2021-09-17,3,20210917,260,58.4,52.1,46.2,59.0,68,6.6,1014.6,1027.2,2.6,27,20,20,0.0,0,0,242.8,5827.0
2021-09-18,3,20210918,261,60.8,54.7,50.0,61.4,71,7.6,1017.6,1030.2,1.0,103,159,164,0.0,0,0,236.7,5680.8
2021-09-19,3,20210919,262,63.8,57.6,53.2,64.8,72,8.6,1013.8,1026.3,1.3,29,59,65,0.0,0,0,234.3,5622.1
2021-09-20,3,20210920,263,65.0,58.8,54.6,65.7,72,9.2,1008.2,1020.6,2.3,15,28,30,0.0,0,43,230.0,5520.0
2021-09-21,3,20210921,264,66.2,60.1,56.1,66.7,74,9.7,1004.9,1017.3,3.4,178,192,194,0.06,0,64,203.4,4882.0
2021-09-22,3,20210922,265,65.8,63.6,62.5,66.5,90,12.2,995.2,1007.5,4.6,216,218,217,0.26,0,79,143.4,3440.9
2021-09-23,3,20210923,266,59.4,54.6,50.5,59.4,76,8.0,997.1,1009.4,5.8,267,271,271,0.03,0,33,198.4,4761.1
2021-09-08,4,20210908,251,66.7,62.1,59.5,67.8,80,11.4,962.0,1009.9,8.8,192,197,198,0.22,0,40,250.5,5760.7
2021-09-09,4,20210909,252,61.0,59.3,58.1,61.1,91,10.8,960.7,1008.7,3.0,319,324,324,0.48,0,99,85.5,2053.0
2021-09-10,4,20210910,253,55.5,51.8,48.6,54.9,80,7.6,964.8,1013.5,7.2,302,308,309,0.0,0,51,181.6,4358.8
2021-09-11,4,20210911,254,58.5,52.7,48.0,58.4,71,7.4,972.4,1021.3,6.6,222,225,226,0.0,0,11,250.6,6013.9
2021-09-12,4,20210912,255,65.1,60.9,58.3,65.9,80,10.9,969.2,1017.4,7.4,252,252,253,0.04,0,57,198.1,4754.3
2021-09-13,4,20210913,256,62.3,58.5,56.0,63.7,82,10.0,970.0,1018.4,2.6,321,301,300,0.0,0,66,179.4,4305.6
2021-09-14,4,20210914,257,71.2,66.6,64.4,72.0,81,13.5,964.9,1012.6,7.9,216,219,219,0.29,0,80,228.6,5487.0
2021-09-15,4,20210915,258,59.4,55.4,52.1,59.4,78,8.8,966.7,1015.1,6.2,307,309,309,0.1,0,100,146.9,3525.9
