--------------------NEW LOG--------------------
Logger started at: 2021-9-23 13:5:16
	Number of epochs :	4000
	Learning Rate :	0.01
	Input size : 1
	Number of layers : 1
	Number of classes : 1
	Loss function : MSE
	Optimizer : ADAM
	 :Training model
------------------
Validation Loss Decreased(inf--->0.08376) 	 Saving The Model
Validation Loss Decreased(0.08376--->0.04905) 	 Saving The Model
Validation Loss Decreased(0.04905--->0.02415) 	 Saving The Model
Validation Loss Decreased(0.02415--->0.01261) 	 Saving The Model
Validation Loss Decreased(0.01261--->0.01221) 	 Saving The Model
Validation Loss Decreased(0.01221--->0.01186) 	 Saving The Model
Validation Loss Decreased(0.01186--->0.01161) 	 Saving The Model
Validation Loss Decreased(0.01161--->0.01136) 	 Saving The Model
Validation Loss Decreased(0.01136--->0.01115) 	 Saving The Model
Validation Loss Decreased(0.01115--->0.01107) 	 Saving The Model
Validation Loss Decreased(0.01107--->0.01105) 	 Saving The Model
Validation Loss Decreased(0.01105--->0.01093) 	 Saving The Model
Validation Loss Decreased(0.01093--->0.01080) 	 Saving The Model
Validation Loss Decreased(0.01080--->0.01071) 	 Saving The Model
Validation Loss Decreased(0.01071--->0.01066) 	 Saving The Model
Validation Loss Decreased(0.01066--->0.01061) 	 Saving The Model
Validation Loss Decreased(0.01061--->0.01047) 	 Saving The Model
Validation Loss Decreased(0.01047--->0.01033) 	 Saving The Model
Validation Loss Decreased(0.01033--->0.01022) 	 Saving The Model
Validation Loss Decreased(0.01022--->0.01013) 	 Saving The Model
Validation Loss Decreased(0.01013--->0.01007) 	 Saving The Model
Validation Loss Decreased(0.01007--->0.01003) 	 Saving The Model
Validation Loss Decreased(0.01003--->0.00998) 	 Saving The Model
Validation Loss Decreased(0.00998--->0.00993) 	 Saving The Model
Validation Loss Decreased(0.00993--->0.00988) 	 Saving The Model
Validation Loss Decreased(0.00988--->0.00983) 	 Saving The Model
Validation Loss Decreased(0.00983--->0.00979) 	 Saving The Model
Validation Loss Decreased(0.00979--->0.00976) 	 Saving The Model
Validation Loss Decreased(0.00976--->0.00975) 	 Saving The Model
Validation Loss Decreased(0.00975--->0.00973) 	 Saving The Model
Validation Loss Decreased(0.00973--->0.00971) 	 Saving The Model
Validation Loss Decreased(0.00971--->0.00966) 	 Saving The Model
Validation Loss Decreased(0.00966--->0.00959) 	 Saving The Model
Validation Loss Decreased(0.00959--->0.00951) 	 Saving The Model
Validation Loss Decreased(0.00951--->0.00943) 	 Saving The Model
Validation Loss Decreased(0.00943--->0.00937) 	 Saving The Model
Validation Loss Decreased(0.00937--->0.00931) 	 Saving The Model
Validation Loss Decreased(0.00931--->0.00927) 	 Saving The Model
Validation Loss Decreased(0.00927--->0.00923) 	 Saving The Model
Validation Loss Decreased(0.00923--->0.00919) 	 Saving The Model
Validation Loss Decreased(0.00919--->0.00915) 	 Saving The Model
Validation Loss Decreased(0.00915--->0.00912) 	 Saving The Model
Validation Loss Decreased(0.00912--->0.00910) 	 Saving The Model
Validation Loss Decreased(0.00910--->0.00908) 	 Saving The Model
Validation Loss Decreased(0.00908--->0.00906) 	 Saving The Model
Validation Loss Decreased(0.00906--->0.00903) 	 Saving The Model
Validation Loss Decreased(0.00903--->0.00899) 	 Saving The Model
Validation Loss Decreased(0.00899--->0.00896) 	 Saving The Model
Validation Loss Decreased(0.00896--->0.00893) 	 Saving The Model
Validation Loss Decreased(0.00893--->0.00892) 	 Saving The Model
Validation Loss Decreased(0.00892--->0.00891) 	 Saving The Model
Validation Loss Decreased(0.00891--->0.00890) 	 Saving The Model
Validation Loss Decreased(0.00890--->0.00890) 	 Saving The Model
Epoch 100 		 Training Loss: 0.01335 		 Validation Loss: 0.00895
Validation Loss Decreased(0.00890--->0.00889) 	 Saving The Model
Validation Loss Decreased(0.00889--->0.00888) 	 Saving The Model
Validation Loss Decreased(0.00888--->0.00886) 	 Saving The Model
Validation Loss Decreased(0.00886--->0.00885) 	 Saving The Model
Validation Loss Decreased(0.00885--->0.00883) 	 Saving The Model
Validation Loss Decreased(0.00883--->0.00882) 	 Saving The Model
Validation Loss Decreased(0.00882--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00881) 	 Saving The Model
Validation Loss Decreased(0.00881--->0.00880) 	 Saving The Model
Validation Loss Decreased(0.00880--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00879) 	 Saving The Model
Validation Loss Decreased(0.00879--->0.00878) 	 Saving The Model
Validation Loss Decreased(0.00878--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00877) 	 Saving The Model
Validation Loss Decreased(0.00877--->0.00876) 	 Saving The Model
Validation Loss Decreased(0.00876--->0.00876) 	 Saving The Model
Validation Loss Decreased(0.00876--->0.00876) 	 Saving The Model
Validation Loss Decreased(0.00876--->0.00875) 	 Saving The Model
Validation Loss Decreased(0.00875--->0.00875) 	 Saving The Model
Validation Loss Decreased(0.00875--->0.00875) 	 Saving The Model
Validation Loss Decreased(0.00875--->0.00875) 	 Saving The Model
Validation Loss Decreased(0.00875--->0.00874) 	 Saving The Model
Validation Loss Decreased(0.00874--->0.00874) 	 Saving The Model
Validation Loss Decreased(0.00874--->0.00874) 	 Saving The Model
Validation Loss Decreased(0.00874--->0.00874) 	 Saving The Model
Validation Loss Decreased(0.00874--->0.00874) 	 Saving The Model
Validation Loss Decreased(0.00874--->0.00873) 	 Saving The Model
Validation Loss Decreased(0.00873--->0.00873) 	 Saving The Model
Validation Loss Decreased(0.00873--->0.00873) 	 Saving The Model
Validation Loss Decreased(0.00873--->0.00873) 	 Saving The Model
Validation Loss Decreased(0.00873--->0.00873) 	 Saving The Model
Validation Loss Decreased(0.00873--->0.00872) 	 Saving The Model
Validation Loss Decreased(0.00872--->0.00872) 	 Saving The Model
Validation Loss Decreased(0.00872--->0.00872) 	 Saving The Model
Validation Loss Decreased(0.00872--->0.00871) 	 Saving The Model
Validation Loss Decreased(0.00871--->0.00871) 	 Saving The Model
Validation Loss Decreased(0.00871--->0.00870) 	 Saving The Model
Validation Loss Decreased(0.00870--->0.00870) 	 Saving The Model
Validation Loss Decreased(0.00870--->0.00869) 	 Saving The Model
Validation Loss Decreased(0.00869--->0.00869) 	 Saving The Model
Validation Loss Decreased(0.00869--->0.00869) 	 Saving The Model
Validation Loss Decreased(0.00869--->0.00868) 	 Saving The Model
Validation Loss Decreased(0.00868--->0.00868) 	 Saving The Model
Validation Loss Decreased(0.00868--->0.00867) 	 Saving The Model
Validation Loss Decreased(0.00867--->0.00867) 	 Saving The Model
Validation Loss Decreased(0.00867--->0.00867) 	 Saving The Model
Validation Loss Decreased(0.00867--->0.00867) 	 Saving The Model
Validation Loss Decreased(0.00867--->0.00867) 	 Saving The Model
Validation Loss Decreased(0.00867--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00866) 	 Saving The Model
Validation Loss Decreased(0.00866--->0.00865) 	 Saving The Model
Validation Loss Decreased(0.00865--->0.00865) 	 Saving The Model
Validation Loss Decreased(0.00865--->0.00865) 	 Saving The Model
Validation Loss Decreased(0.00865--->0.00865) 	 Saving The Model
Validation Loss Decreased(0.00865--->0.00865) 	 Saving The Model
Validation Loss Decreased(0.00865--->0.00864) 	 Saving The Model
