--------------------NEW LOG--------------------
Logger started at: 2021-9-23 18:41:9
Validation Loss Decreased(inf--->0.02466) 	 Saving The Model
--------------------NEW LOG--------------------
Logger started at: 2021-9-23 18:41:41
Validation Loss Decreased(inf--->0.02668) 	 Saving The Model
Validation Loss Decreased(0.02668--->0.02601) 	 Saving The Model
Validation Loss Decreased(0.02601--->0.02441) 	 Saving The Model
Validation Loss Decreased(0.02441--->0.02273) 	 Saving The Model
Validation Loss Decreased(0.02273--->0.02123) 	 Saving The Model
Validation Loss Decreased(0.02123--->0.01993) 	 Saving The Model
Validation Loss Decreased(0.01993--->0.01878) 	 Saving The Model
Validation Loss Decreased(0.01878--->0.01776) 	 Saving The Model
Validation Loss Decreased(0.01776--->0.01689) 	 Saving The Model
Validation Loss Decreased(0.01689--->0.01630) 	 Saving The Model
Validation Loss Decreased(0.01630--->0.01602) 	 Saving The Model
Validation Loss Decreased(0.01602--->0.01593) 	 Saving The Model
Validation Loss Decreased(0.01593--->0.01590) 	 Saving The Model
--------------------NEW LOG--------------------
Logger started at: 2021-9-23 18:42:12
Validation Loss Decreased(inf--->0.01601) 	 Saving The Model
Validation Loss Decreased(0.01601--->0.01598) 	 Saving The Model
Validation Loss Decreased(0.01598--->0.01595) 	 Saving The Model
Validation Loss Decreased(0.01595--->0.01592) 	 Saving The Model
Validation Loss Decreased(0.01592--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Epoch 100 		 Training Loss: 0.01226 		 Validation Loss: 0.01592
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01591) 	 Saving The Model
Validation Loss Decreased(0.01591--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Epoch 200 		 Training Loss: 0.01226 		 Validation Loss: 0.01590
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
Validation Loss Decreased(0.01590--->0.01590) 	 Saving The Model
