SCRUB_STORE_NO,DOY_STD,MIN_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_AIR_2M_F,MAX_TEMPERATURE_AIR_2M_F,MIN_TEMPERATURE_WETBULB_2M_F,AVG_TEMPERATURE_WETBULB_2M_F,MAX_TEMPERATURE_WETBULB_2M_F,MIN_TEMPERATURE_DEWPOINT_2M_F,AVG_TEMPERATURE_DEWPOINT_2M_F,MAX_TEMPERATURE_DEWPOINT_2M_F,MIN_TEMPERATURE_FEELSLIKE_2M_F,AVG_TEMPERATURE_FEELSLIKE_2M_F,MAX_TEMPERATURE_FEELSLIKE_2M_F,MIN_TEMPERATURE_WINDCHILL_2M_F,AVG_TEMPERATURE_WINDCHILL_2M_F,MAX_TEMPERATURE_WINDCHILL_2M_F,MIN_TEMPERATURE_HEATINDEX_2M_F,AVG_TEMPERATURE_HEATINDEX_2M_F,MAX_TEMPERATURE_HEATINDEX_2M_F,MIN_HUMIDITY_RELATIVE_2M_PCT,AVG_HUMIDITY_RELATIVE_2M_PCT,MAX_HUMIDITY_RELATIVE_2M_PCT,MIN_HUMIDITY_SPECIFIC_2M_GPKG,AVG_HUMIDITY_SPECIFIC_2M_GPKG,MAX_HUMIDITY_SPECIFIC_2M_GPKG,MIN_PRESSURE_2M_MB,AVG_PRESSURE_2M_MB,MAX_PRESSURE_2M_MB,MIN_PRESSURE_MEAN_SEA_LEVEL_MB,AVG_PRESSURE_MEAN_SEA_LEVEL_MB,MAX_PRESSURE_MEAN_SEA_LEVEL_MB,MIN_WIND_SPEED_10M_MPH,AVG_WIND_SPEED_10M_MPH,MAX_WIND_SPEED_10M_MPH,AVG_WIND_DIRECTION_10M_DEG,MIN_WIND_SPEED_80M_MPH,AVG_WIND_SPEED_80M_MPH,MAX_WIND_SPEED_80M_MPH,AVG_WIND_DIRECTION_80M_DEG,MIN_WIND_SPEED_100M_MPH,AVG_WIND_SPEED_100M_MPH,MAX_WIND_SPEED_100M_MPH,AVG_WIND_DIRECTION_100M_DEG,TOT_PRECIPITATION_IN,TOT_SNOWFALL_IN,MIN_CLOUD_COVER_TOT_PCT,AVG_CLOUD_COVER_TOT_PCT,MAX_CLOUD_COVER_TOT_PCT,MIN_RADIATION_SOLAR_TOTAL_WPM2,AVG_RADIATION_SOLAR_TOTAL_WPM2,MAX_RADIATION_SOLAR_TOTAL_WPM2,TOT_RADIATION_SOLAR_TOTAL_WPM2,TIME_DIM_KEY
1,251,52.1,60.9,69.2,50.6,55.7,58.8,49.3,51.7,56.2,51.0,60.5,69.0,51.0,60.2,69.0,52.1,60.9,69.0,52,73,92,7.6,8.4,9.9,976.1,978.2,981.8,1004.5,1006.6,1010.5,4.6,10.3,17.3,299,9.6,17.6,23.9,302,11.0,18.9,24.5,303,0.0,0,0,25,100,0,206.8,711.5,4755.7,20210908
1,252,51.0,58.7,70.3,49.7,53.5,58.5,47.3,49.2,52.3,49.7,58.2,70.7,49.7,58.1,69.9,51.2,58.8,70.7,46,73,91,7.1,7.6,8.6,981.8,985.0,988.1,1010.5,1013.6,1017.1,2.9,7.2,13.7,324,5.4,11.4,17.7,328,6.1,12.2,18.1,329,0.03,0,0,45,100,0,204.1,727.4,4899.1,20210909
1,253,49.6,61.2,73.8,48.2,54.1,60.2,46.1,48.1,50.7,49.2,62.1,76.0,49.2,61.2,73.6,49.7,62.1,76.0,40,65,90,6.8,7.3,8.1,987.6,989.1,990.9,1016.2,1017.7,1019.6,1.3,6.2,12.2,210,1.3,9.4,19.6,212,1.2,10.0,21.7,212,0.0,0,0,27,100,0,228.8,769.3,5491.4,20210910
1,254,57.2,68.2,79.2,54.5,61.8,65.9,50.8,57.8,63.0,57.5,69.3,79.5,55.4,67.7,78.8,57.5,69.3,79.5,47,72,95,8.1,10.5,12.5,981.4,984.9,987.3,1009.4,1013.2,1015.9,1.5,11.7,19.4,216,3.0,18.7,27.2,218,3.3,19.7,28.1,219,0.0,0,7,67,100,0,180.8,704.1,4339.6,20210911
1,255,55.3,65.5,77.2,53.4,57.0,62.6,43.7,49.4,62.1,54.4,65.7,77.0,54.4,65.2,77.0,56.0,65.9,77.0,31,60,97,6.2,7.8,12.1,985.2,988.1,989.4,1013.6,1016.6,1017.9,4.7,7.0,10.4,51,5.1,11.0,14.9,55,5.1,11.6,15.8,56,0.0,0,5,74,100,0,185.6,723.4,4453.4,20210912
1,256,56.9,67.2,81.4,52.1,61.7,69.8,45.6,58.3,65.2,57.1,68.2,83.1,56.2,66.8,81.3,57.1,68.2,83.1,56,75,98,6.6,10.9,13.6,980.3,984.4,988.3,1008.4,1012.7,1017.0,2.0,6.9,10.3,150,3.6,11.4,16.1,145,3.9,12.2,17.8,144,0.02,0,13,66,100,0,138.1,519.6,3316.0,20210913
1,257,52.3,63.1,71.8,51.1,58.2,62.0,47.4,54.3,61.9,53.1,63.5,75.4,53.1,63.0,71.6,53.3,63.6,75.4,43,76,99,7.2,9.4,12.1,981.6,983.9,988.2,1010.0,1012.4,1017.0,3.0,8.1,15.3,306,2.9,12.1,20.8,310,3.2,12.9,21.4,311,0.19,0,0,46,100,0,226.0,708.2,5425.0,20210914
1,258,50.1,59.8,71.6,48.7,53.3,58.2,45.5,47.6,49.2,50.8,60.9,75.3,50.8,59.9,71.4,50.4,60.8,75.3,39,67,89,6.6,7.1,7.5,988.6,989.6,991.3,1017.6,1018.4,1020.1,1.3,5.2,10.7,301,1.7,7.2,13.4,300,1.7,7.4,13.6,300,0.0,0,0,42,100,0,159.0,487.3,3814.3,20210915
1,259,51.0,62.0,77.3,48.0,54.0,60.5,44.5,46.7,50.5,51.5,62.1,76.9,51.5,61.9,76.9,51.5,62.1,76.9,32,61,81,6.3,6.9,7.9,991.4,993.4,994.8,1020.3,1022.2,1023.8,0.7,5.5,9.6,231,2.0,8.4,13.9,233,2.3,8.8,15.1,234,0.0,0,0,0,1,0,230.8,699.5,5539.0,20210916
1,260,54.0,64.3,78.2,48.5,55.9,62.2,42.5,49.0,53.7,52.3,64.1,78.0,52.3,63.5,78.0,54.3,64.8,78.0,37,60,89,5.8,7.5,9.0,995.0,996.6,997.5,1024.0,1025.4,1026.4,4.9,8.1,11.7,209,10.3,13.5,15.2,213,11.4,14.5,17.2,215,0.0,0,0,0,0,0,227.4,690.2,5455.7,20210917
1,261,53.5,65.7,82.0,50.4,56.9,63.4,46.8,49.5,53.2,52.4,65.8,81.4,52.4,65.2,81.4,54.1,66.3,81.4,31,60,83,6.9,7.7,8.7,993.8,996.3,998.5,1022.6,1025.0,1027.7,4.4,8.0,12.5,176,9.5,13.4,16.1,182,10.8,14.3,17.8,184,0.0,0,0,0,0,0,227.7,695.7,5463.9,20210918
1,262,57.4,69.2,83.6,54.3,60.1,65.9,51.9,53.7,56.2,57.4,70.1,83.1,55.9,68.7,83.1,57.4,70.1,83.1,37,61,82,8.3,9.0,9.8,989.1,991.1,993.7,1017.5,1019.6,1022.5,7.0,9.7,14.5,194,14.6,17.0,19.4,198,16.3,18.5,20.1,199,0.0,0,0,15,60,0,198.5,609.2,4763.3,20210919
1,263,60.7,70.3,82.4,57.9,60.6,64.0,48.8,53.2,57.6,61.6,71.4,82.1,61.6,70.3,82.1,61.6,71.4,82.1,32,58,86,7.6,8.9,10.3,983.1,986.7,988.8,1011.4,1015.1,1017.3,6.4,10.2,18.2,202,13.6,17.2,24.6,205,14.7,18.5,25.3,206,0.0,0,29,71,100,0,160.7,592.6,3857.2,20210920
1,264,54.3,62.8,70.9,54.1,60.0,64.6,52.6,58.1,63.6,54.3,62.6,68.8,54.3,62.6,68.8,55.0,62.8,68.8,58,86,99,8.6,10.7,12.8,978.7,980.6,984.0,1007.2,1009.0,1012.3,3.2,8.6,14.1,228,5.5,14.2,20.9,235,5.8,15.1,21.8,236,0.94,0,19,89,100,0,35.3,127.7,846.6,20210921
1,265,49.8,51.9,59.3,47.5,50.0,54.6,43.7,48.4,53.8,44.8,48.0,54.2,44.8,48.0,54.2,50.1,51.9,55.6,71,88,94,6.2,7.4,9.1,977.2,978.6,981.2,1005.7,1007.3,1010.1,4.0,12.0,17.3,296,7.9,19.0,25.6,300,9.1,19.9,26.7,300,0.21,0,46,88,100,0,76.4,276.6,1833.3,20210922
1,266,47.1,52.0,59.0,45.5,47.5,51.0,39.6,42.8,47.5,45.6,49.9,58.0,45.6,49.2,55.7,47.9,52.0,58.0,50,72,91,5.3,6.0,7.2,979.0,982.2,984.1,1007.6,1011.2,1013.1,5.0,8.4,13.1,245,10.3,13.9,22.5,247,11.5,14.9,24.0,248,0.03,0,0,62,100,0,157.0,605.7,3768.1,20210923
2,251,54.5,67.6,79.3,53.5,61.9,65.4,52.6,58.5,63.3,53.9,68.2,79.5,53.9,67.4,78.9,54.8,68.3,79.5,44,76,99,8.7,10.9,12.9,969.6,971.2,973.1,1008.7,1010.6,1013.2,4.6,10.0,14.7,204,13.1,18.9,24.4,206,15.3,20.2,25.5,207,0.0,0,0,43,100,0,243.3,802.5,5596.6,20210908
2,252,59.0,63.6,68.0,57.1,62.5,66.2,55.8,62.0,66.0,59.0,63.6,66.7,59.1,63.6,66.7,59.0,63.6,66.7,83,95,100,9.8,12.3,14.1,967.7,968.6,969.3,1007.2,1008.1,1008.8,1.4,3.6,7.3,253,2.2,6.8,14.5,258,2.4,7.4,15.5,259,0.22,0,100,100,100,0,47.7,264.0,1144.7,20210909
2,253,48.0,59.1,68.6,45.2,54.1,58.9,42.3,50.3,55.0,46.2,58.3,67.3,46.2,58.1,67.3,48.1,59.1,67.3,54,73,92,5.9,8.1,9.5,967.7,971.6,978.0,1007.5,1011.5,1018.8,3.8,8.3,12.3,305,9.9,15.5,19.6,308,11.0,16.7,20.2,309,0.04,0,0,26,100,0,234.4,788.1,5627.1,20210910
2,254,45.6,58.9,71.7,42.9,52.2,58.1,39.7,46.2,52.2,43.6,58.6,75.1,43.6,57.9,71.6,45.7,59.3,75.1,39,65,84,5.3,6.9,8.5,978.2,980.4,982.1,1019.1,1020.7,1022.3,4.0,7.3,10.8,244,8.4,13.9,20.5,248,9.8,15.0,21.7,250,0.0,0,0,4,24,0,254.6,806.9,6111.7,20210911
2,255,56.8,66.6,79.6,55.3,61.4,67.3,53.3,58.3,63.4,58.2,67.4,80.5,55.9,66.1,79.4,58.2,67.4,80.5,46,77,98,8.9,10.8,12.9,974.8,976.8,979.2,1014.1,1016.5,1019.4,4.0,10.4,14.6,252,10.1,19.1,24.1,254,11.4,20.3,25.0,255,0.02,0,0,42,100,0,215.2,770.6,5165.3,20210912
